방송Code,방송구분,프로그램명,PD,SH,TD,상품ID,MD담당자명,부서코드,부서명,협력사ID,협력사명
1005250723130,재방송,재방_주방용품,,,,10423439,"이서소,유다솜",3111105,생활1팀,101746,(주)리빙온
1021250824069,재방송,게릴라 프로모션,,,,10061147,육경만,3121305,식품3팀,102675,위에이블주식회사
1019250921154,생방송,건강식품,유이환,"이주규,최가영",이만혁,10118440,심인혜,3121405,식품4팀,100067,주식회사 뮤도파
1005251027461,생방송,주방용품,최조환,박원이,송창장,10114031,"이서소,유다솜",3111105,생활1팀,102761,주식회사카이리캔
1005251127461,생방송,주방용품,최조환,박원이,송창장,10118642,"이서소,유다솜",3111105,생활1팀,102761,주식회사카이리캔
1005251227461,생방송,주방용품,최조환,박원이,송창장,10118808,"이서소,유다솜",3111105,생활1팀,102761,주식회사카이리캔
1005251327461,생방송,주방용품,최조환,박원이,송창장,10118806,"이서소,유다솜",3111105,생활1팀,102761,주식회사카이리캔
1022251423557,생방송,신선농산,임명순,"송주선,권기문",이만혁,10444091,"황새롬,황새롬",3121105,식품1팀,102861,(주)한옹름
1022251523557,생방송,신선농산,임명순,"송주선,권기문",이만혁,10407371,황새롬,3121105,식품1팀,102861,(주)한옹름
1002251621264,생방송,레포츠기기,강인택,"최채원,이주영A",송창장,10012135,"최백원,강동완",3111405,생활4팀,101032,(주)규포넷
1002251721264,생방송,레포츠기기,강인택,"최채원,이주영A",송창장,10033207,"최백원,강동완",3111405,생활4팀,101032,(주)규포넷
1006251837123,생방송,F_침구,이혁애,"백이숙,임주원",이만혁,10444352,최백원,3111105,생활1팀,102171,주식회사느티나무
1006251937123,생방송,F_침구,이혁애,"백이숙,임주원",이만혁,10435144,최백원,3111105,생활1팀,102171,주식회사느티나무
1021252020093,생방송,신선수산,이혜이,"이소연,이장혁",송병호,10243210,최희수,3121305,식품3팀,100334,산업회사법익스(주)나주물산
1010252125707,생방송,의류,안수연,"최육영,박보경",송창장,10075053,전승아,3111205,생활2팀,102442,(주)옹월과시선
1022252223238,생방송,신선농산,송승희,곽주애,송병호,10422259,"최조학,이은혜",3121105,식품1팀,103586,산업회사법익스 주식회사 횡성광명원
1022252323238,생방송,신선농산,송승희,곽주애,송병호,10422260,"최조학,이은혜",3121105,식품1팀,103586,산업회사법익스 주식회사 횡성광명원
1003252437095,생방송,F_생활용품,강인택,이주규,윤주혁,10434639,"이서소,최의",3111105,생활1팀,100477,(주)티브이코리아
1003252537095,생방송,F_생활용품,강인택,이주규,윤주혁,10441142,"이서소,최의",3111105,생활1팀,100477,(주)티브이코리아
1041252622479,생방송,가공축산,이혁철,"이효만,신유이",송병호,10048114,최주선,3121205,식품2팀,100312,(주)뮤트프라자
1040252726943,생방송,TV하나로마트,윤가석,이소연,이인호,10441097,"최만훈,최만훈",3121105,식품1팀,100002,산협경제지주㈜
1016252836436,생방송,이미용,성혜영,"박상언,이주혁",윤주혁,10235849,"이수만,장주환",3111305,생활3팀,103126,(주)정렌턱브
1042252936690,생방송,가공수산,이혁철,"이유경,최규재",이인호,10436358,서혜선,3121305,식품3팀,100465,주식회사테이스티나익스
1002253026693,생방송,레포츠기기,국성훈,"박장혜,최가영",윤주혁,10442904,"최백원,강동완",3111405,생활4팀,103187,(주)메턱칼드림
1002253126693,생방송,레포츠기기,국성훈,"박장혜,최가영",윤주혁,10444420,"최백원,강동완",3111405,생활4팀,103187,(주)메턱칼드림
1002253226693,생방송,레포츠기기,국성훈,"박장혜,최가영",윤주혁,10444421,"최백원,강동완",3111405,생활4팀,103187,(주)메턱칼드림
1022253336944,생방송,신선농산,고차희,"박원이,이주영A",이인호,10443946,"최조학,이은혜",3121105,식품1팀,102134,한국에프엔씨
1051253436896,생방송,TV 행복한백화점,국성훈,"최한빛,박채린",윤주혁,10420765,"최만헌,임대훈",3111405,생활4팀,100003,(주)산업기업유통센터
1020253537002,생방송,F_건강식품,박소흥,"박장혜,최소희",이인호,10432035,박만이건,3121405,식품4팀,104947,(주)엔에스티바이옹
1019253621442,재방송,재방_건강식품,,,,10113458,심인혜,3121405,식품4팀,101839,주식회사바이옹믹스
1019253721442,재방송,재방_건강식품,,,,10082758,박만이건,3121405,식품4팀,101839,주식회사바이옹믹스
1020253827028,재방송,재방_건강식품,,,,10245763,박만이건,3121405,식품4팀,101030,(주)필스빌
1020253927028,재방송,재방_건강식품,,,,10111763,박만이건,3121405,식품4팀,101030,(주)필스빌
1040254036872,재방송,재방_가공농산,,,,10420780,"최병규,최만훈",3121105,식품1팀,104873,(주)아이온
1022254135953,재방송,재방_신선농산,,,,10421602,최만훈,3121105,식품1팀,101089,주식회사아이비에이치
1016254226275,재방송,재방_이미용,,,,10100117,전도권,3111305,생활3팀,103367,(주)바이원코스메틱
1020254325512,재방송,재방_건강식품,,,,10124353,신대혁,3121405,식품4팀,102921,주식회사명신
1020254425512,재방송,재방_건강식품,,,,10074636,신대혁,3121405,식품4팀,102921,주식회사명신
1020254525512,재방송,재방_건강식품,,,,10084070,신대혁,3121405,식품4팀,102921,주식회사명신
1010254636702,재방송,재방_의류,,,,10407576,최유만,3111205,생활2팀,102442,(주)옹월과시선
1015254736980,생방송,잡화,이리아,"최육영,박승희",이만혁,10417596,최주나,3111305,생활3팀,100362,(사)산업기업기술혁신협회
1015254836980,생방송,잡화,이리아,"최육영,박승희",이만혁,10420766,최주나,3111305,생활3팀,100362,(사)산업기업기술혁신협회
1016254937125,생방송,뷰티룸,안수연,"박상언,이주혁",송창장,10435386,"이수만,장주환",3111305,생활3팀,105033,나익스코리아 주식회사
1010255037099,생방송,F_의류,강주우,"최소유,박보경",이만혁,10434734,박조호A,3111205,생활2팀,100068,(주)이퀘스트
1022255121602,생방송,신선농산,이명섭,"박주혁B,임주원",송창장,10011287,최병규,3121105,식품1팀,100002,산협경제지주㈜
1003255226883,생방송,생활용품,최성철,강규주,이만혁,10435439,"이서소,최의",3111105,생활1팀,103847,주식회사 케이앤글로벌
1003255326883,생방송,생활용품,최성철,강규주,이만혁,10435411,"이서소,최의",3111105,생활1팀,103847,주식회사 케이앤글로벌
1040255420889,생방송,가공농산,가관석,"이효만,최규재",송병호,10421597,최병규,3121105,식품1팀,104163,sns푸드
1042255527302,생방송,가공수산,이혁빈,"이장혁,신유이",송창장,10351774,최희수,3121305,식품3팀,100004,물산업협동조합중앙회
1010255636977,생방송,의류,가성훈,"박서희,최규영",송병호,10411748,"권동인,최수만",3111205,생활2팀,100003,(주)산업기업유통센터
1183255736858,생방송,F_가공축산(상생),박소흥,최채원,임미라,10417695,한은영,3131105,상생협력팀,100002,산협경제지주㈜
1021255825927,생방송,게릴라 프로모션,국성훈,,,10081171,임도석,3121305,식품3팀,100351,형강물산(주)
1169255936652,생방송,창의혁신 날개를 달아드립니다(상생),국성훈,"강규주,이소연",송병호,10404344,최병수,3131105,상생협력팀,100197,한국쥬편사업진흥원
1169256036652,생방송,창의혁신 날개를 달아드립니다(상생),국성훈,"강규주,이소연",송병호,10404374,최병수,3131105,상생협력팀,100197,한국쥬편사업진흥원
1041256110090,생방송,게릴라 프로모션,이명섭,,,10078420,"최형권,최주선",3121205,식품2팀,100002,산협경제지주㈜
1021256210163,생방송,어랍쇼,이명섭,이서경,이인호,10120830,육경만,3121305,식품3팀,100004,물산업협동조합중앙회
1044256336578,생방송,가전,이호만,"최가영,박채린",임미라,10336100,"가길호,남주혜",3111405,생활4팀,100003,(주)산업기업유통센터
1041256436752,생방송,가공축산,윤가석,"곽주애,이수완",이인호,10412239,최형권,3121205,식품2팀,100002,산협경제지주㈜
1007256527123,생방송,인테리어,이재가,"박원이,이주영A",임미라,10443127,"전상운,박경은",3111105,생활1팀,103979,(주)한빛코리아
1007256627123,생방송,인테리어,이재가,"박원이,이주영A",임미라,10443617,"전상운,박경은",3111105,생활1팀,103979,(주)한빛코리아
1007256727123,생방송,인테리어,이재가,"박원이,이주영A",임미라,10441752,"전상운,박경은",3111105,생활1팀,103979,(주)한빛코리아
1007256827123,생방송,인테리어,이재가,"박원이,이주영A",임미라,10110850,"전상운,박경은",3111105,생활1팀,103979,(주)한빛코리아
1007256927123,생방송,인테리어,이재가,"박원이,이주영A",임미라,10110854,"전상운,박경은",3111105,생활1팀,103979,(주)한빛코리아
1021257022190,생방송,신선수산,고차희,"박장혜,최규재",이인호,10053456,최희수,3121305,식품3팀,100004,물산업협동조합중앙회
1129257125015,생방송,렌탈,이재가,"박상언,이소연",임미라,10419737,"최만헌,임대훈",3111405,생활4팀,102823,(주)열심히
1012257223402,생방송,레포츠의류,국재열,"이조헌,박서희",이인호,10224722,"유명은,고이혁",3111205,생활2팀,104362,MK익스터내셔널
1012257323402,생방송,레포츠의류,국재열,"이조헌,박서희",이인호,10226174,남기중,3111205,생활2팀,100003,(주)산업기업유통센터
1023257436434,재방송,재방_신선축산,,,,10412449,"최주선,양규석",3121205,식품2팀,101301,(주)제이포코리아
1040257525690,재방송,재방_가공농산,,,,10078995,최만훈,3121105,식품1팀,100067,주식회사 뮤도파
1021257610370,재방송,재방_신선수산,,,,10116003,서혜선,3121305,식품3팀,100169,바다소풍
1022257720371,재방송,재방_신선농산,,,,10435489,"최조학,이은혜",3121105,식품1팀,102145,옥토주식회사
1041257836532,재방송,재방_가공축산,,,,10336103,"윤만규,양규석",3121205,식품2팀,101788,주식회사에스엘
1045257936572,재방송,게릴라 프로모션,,,,10248644,"가길호,남주혜",3111405,생활4팀,101239,주식회사에버홈
1022258036808,재방송,재방_신선농산,,,,10428851,"황새롬,황새롬",3121105,식품1팀,100002,산협경제지주㈜
1022258136808,재방송,재방_신선농산,,,,10411953,"황새롬,황새롬",3121105,식품1팀,100002,산협경제지주㈜
1019258226399,생방송,요목조목건강락서,신이일,"박원이,최가영",윤주혁,10436081,심인혜,3121405,식품4팀,103576,(주)파익스씨티
1005258336705,생방송,주방용품,최조환,"최규좌,이주영A",최백장,10407644,"이서소,유다솜",3111105,생활1팀,104360,주식회사 벤하임코리아
1005258436705,생방송,주방용품,최조환,"최규좌,이주영A",최백장,10417595,"이서소,유다솜",3111105,생활1팀,104360,주식회사 벤하임코리아
1005258536705,생방송,주방용품,최조환,"최규좌,이주영A",최백장,10417594,"이서소,유다솜",3111105,생활1팀,104360,주식회사 벤하임코리아
1005258636705,생방송,주방용품,최조환,"최규좌,이주영A",최백장,10415789,"이서소,유다솜",3111105,생활1팀,104360,주식회사 벤하임코리아
1019258726356,생방송,건강식품,이혁철,송주선,윤주혁,10443614,"심인혜,박만이건",3121405,식품4팀,100002,산협경제지주㈜
1010258837100,생방송,F_의류,이이규,"최육영,박보경",최백장,10434934,박조호A,3111205,생활2팀,100003,(주)산업기업유통센터
1040258926731,생방송,가공농산,이혁빈,이소연,윤주혁,10444606,"최병규,황새롬",3121105,식품1팀,103727,(주)펜타플래닝
1003259026721,생방송,생활용품,강인택,강규주,송병호,10095920,"이서소,최의",3111105,생활1팀,100248,(주)씨엔턱상사
1003259126721,생방송,생활용품,강인택,강규주,송병호,10095921,"이서소,최의",3111105,생활1팀,100248,(주)씨엔턱상사
1006259237124,생방송,F_침구,이리아,"백이숙,임주원",최백장,10444441,최백원,3111105,생활1팀,102171,주식회사느티나무
1006259337124,생방송,F_침구,이리아,"백이숙,임주원",최백장,10444440,최백원,3111105,생활1팀,102171,주식회사느티나무
1006259437124,생방송,F_침구,이리아,"백이숙,임주원",최백장,10435358,최백원,3111105,생활1팀,102171,주식회사느티나무
1020259524886,생방송,건강식품,이혁빈,"박장혜,안덕혁",송병호,10443700,"박만건,박만이건",3121405,식품4팀,100002,산협경제지주㈜
1010259627765,생방송,의류,국재열,"이유경,최규영",이인호,10410196,최유만,3111205,생활2팀,100003,(주)산업기업유통센터
1021259726480,생방송,신선수산,이두리,"이서경,권기문",송병호,10091606,최희수,3121305,식품3팀,100004,물산업협동조합중앙회
1020259826771,생방송,프리미엄식품관,박이환,"송주선,임주원",임미라,10407579,심인혜,3121405,식품4팀,103746,(주)형포레익스
1020259926771,생방송,프리미엄식품관,박이환,"송주선,임주원",임미라,10108878,심인혜,3121405,식품4팀,103746,(주)형포레익스
1040260024707,생방송,가공농산,유이환,"이효만,최소희",이인호,10404883,"최병규,최만훈",3121105,식품1팀,100002,산협경제지주㈜
1051260123295,생방송,중소기업을만나다,국성훈,"이주규,박채린",임미라,10110170,"최만헌,임대훈",3111405,생활4팀,100003,(주)산업기업유통센터
1051260236415,생방송,렌탈,이효경,"박상언,이유경",이인호,10434313,"최만헌,임대훈",3111405,생활4팀,100003,(주)산업기업유통센터
1006260336041,생방송,침구,강주우,"강규주,이소연",임미라,10410451,"이수만,장주환",3111105,생활1팀,100952,(주)레뮤안
1006260436041,생방송,침구,강주우,"강규주,이소연",임미라,10410453,"이수만,장주환",3111105,생활1팀,100952,(주)레뮤안
1006260536041,생방송,침구,강주우,"강규주,이소연",임미라,10410455,"이수만,장주환",3111105,생활1팀,100952,(주)레뮤안
1006260636041,생방송,침구,강주우,"강규주,이소연",임미라,10410456,"이수만,장주환",3111105,생활1팀,100952,(주)레뮤안
1041260726755,생방송,가공축산,유이환,최채원,이인호,10103010,"최주선,최형권",3121205,식품2팀,100312,(주)뮤트프라자
1002260836219,생방송,레포츠기기,이상철B,"최한빛,박승희",임미라,10240960,"최백원,강동완",3111405,생활4팀,100131,(주)버팔로스포츠
1042260936758,재방송,재방_가공수산,,,,10130658,엄은미,3121305,식품3팀,102741,바이옹제닉스코리아주식회사
1041261023612,재방송,재방_가공축산,,,,10405050,최주선,3121205,식품2팀,100312,(주)뮤트프라자
1041261123612,재방송,재방_가공축산,,,,10113076,"최주선,최형권",3121205,식품2팀,100312,(주)뮤트프라자
1042261225938,재방송,재방_가공수산,,,,10403157,"엄은미,육경만",3121305,식품3팀,103269,(주)부산어묵
1010261325708,재방송,재방_의류,,,,10232913,남기중,3111205,생활2팀,100003,(주)산업기업유통센터
1020261422352,재방송,재방_건강식품,,,,10374593,심인혜,3121405,식품4팀,101839,주식회사바이옹믹스
1020261522352,재방송,재방_건강식품,,,,10377671,심인혜,3121405,식품4팀,101839,주식회사바이옹믹스
1020261622352,재방송,재방_건강식품,,,,10241857,심인혜,3121405,식품4팀,101839,주식회사바이옹믹스
1045261710260,생방송,가전,이재가,이장혁,윤주혁,10412077,"가길호,남주혜",3111405,생활4팀,102333,주식회사홈밀맷돌
1040261821147,생방송,가공농산,이혁빈,"송주선,이조헌",최백장,10444733,"최조학,이은혜",3121105,식품1팀,102863,영산조합법익스완주봉상생강조합
1010261937084,생방송,F_의류,가성훈,"박보경,최규영",윤주혁,10434597,최승미,3111205,생활2팀,101093,주식회사 다이아물산
1016262036579,생방송,이미용,안수연,"곽주애,이조헌",최백장,10401326,"이수만,장주환",3111305,생활3팀,102105,(주)에이트플러스
1042262123270,생방송,가공수산,가관석,"이서경,박채린",윤주혁,10435410,서혜선,3121305,식품3팀,100004,물산업협동조합중앙회
1011262237070,생방송,속옷,가성훈,"최채원,임주원",송병호,10431935,남기중,3111205,생활2팀,100003,(주)산업기업유통센터
1011262337070,생방송,속옷,가성훈,"최채원,임주원",송병호,10432065,남기중,3111205,생활2팀,100003,(주)산업기업유통센터
1022262425910,생방송,신선농산,이두리,"박주혁B,박채린",최백장,10090944,"최조학,이은혜",3121105,식품1팀,100002,산협경제지주㈜
1045262522123,생방송,가전,최성철,강규주,송병호,10420763,"가길호,남주혜",3111405,생활4팀,101239,주식회사에버홈
1013262637072,생방송,F_잡화,강승필,"이유경,이유경",이인호,10435479,"전승아,전승아",3111305,생활3팀,104260,(주)천지스카이폰드
1021262725844,생방송,신선수산,이혜이,"이서경,권기문",송병호,10441102,엄은미,3121305,식품3팀,100197,한국쥬편사업진흥원
1023262820216,생방송,신선축산,이두리,"이장혁,이주영A",임미라,10112916,최주선,3121205,식품2팀,100312,(주)뮤트프라자
1021262927621,생방송,신선수산,고차희,"박주혁B,신유이",이인호,10406408,육경만,3121305,식품3팀,101347,주식회사 제이상사
1010263036099,생방송,의류,이이규,"하재원,박서희",임미라,10135415,"권동인,최수만",3111205,생활2팀,100003,(주)산업기업유통센터
1021263121066,생방송,의류,이이규,"하재원,박서희",임미라,10118840,임도석,3121305,식품3팀,100351,형강물산(주)
1021263226644,생방송,신선수산,이명섭,"박장혜,이유경",이인호,10412376,"최희수,최성욱",3121305,식품3팀,100024,주식회사제일
1021263326644,생방송,신선수산,이명섭,"박장혜,이유경",이인호,10412390,"최희수,최성욱",3121305,식품3팀,100024,주식회사제일
1040263423897,생방송,가공농산,윤가석,"이효만,안덕혁",임미라,10426832,황새롬,3121105,식품1팀,100002,산협경제지주㈜
1002263536744,생방송,레포츠기기,이효경,"최한빛,이주혁",이인호,10423869,"최백원,강동완",3111405,생활4팀,100003,(주)산업기업유통센터
1015263624073,생방송,잡화,이혁애,최육영,임미라,10249530,최주나,3111305,생활3팀,102636,(주)유스다이아몬드
